Num,Year,Month,Day,HourStart,MinStart,SegStart,HourEnd,MinEnd,SegEnd,StartPoint,EndPoint,Duration,Type,Station
33,2019,1,1,16,21,54,16,22,14,2945700,2946700,20,VT,BREF
34,2019,1,1,19,37,4,19,37,34,3531200,3532700,30,LP,BREF
35,2019,1,1,23,25,34,23,26,19,4216700,4218950,45,LP,BREF
36,2019,1,1,2,10,14,2,10,34,390700,391700,20,LP,BREF
37,2019,1,1,18,0,4,18,40,4,3240200,3360200,2400,TRE,BREF
38,2019,1,1,17,40,4,18,0,4,3180200,3240200,1200,TRE,BREF
39,2019,1,2,0,10,7,0,10,37,30350,31850,30,LP,BREF
40,2019,1,2,0,8,32,0,8,57,25600,26850,25,LP,BREF
41,2019,1,2,4,29,17,4,29,52,807850,809600,35,LP,BREF
42,2019,1,2,5,2,37,5,2,57,907850,908850,20,VT,BREF
43,2019,1,2,6,17,32,6,18,2,1132600,1134100,30,LP,BREF
44,2019,1,2,6,35,22,6,35,47,1186100,1187350,25,HB,BREF
45,2019,1,2,7,35,32,7,36,12,1366600,1368600,40,LP,BREF
46,2019,1,2,8,11,52,8,12,17,1475600,1476850,25,LP,BREF
47,2019,1,2,8,14,52,8,15,17,1484600,1485850,25,OTRO,BREF
48,2019,1,2,8,32,12,8,32,52,1536600,1538600,40,LP,BREF
49,2019,1,2,9,34,37,9,35,22,1723850,1726100,45,REGIONAL,BREF
50,2019,1,2,9,37,42,9,38,12,1733100,1734600,30,LP,BREF
51,2019,1,2,9,40,17,9,40,47,1740850,1742350,30,LP,BREF
52,2019,1,2,10,50,44,10,51,12,1952200,1953600,28,LP,BREF
53,2019,1,2,11,6,54,11,7,12,2000700,2001600,18,LP,BREF
54,2019,1,2,17,50,7,17,50,32,3210350,3211600,25,OTRO,BREF
55,2019,1,2,19,43,12,19,43,42,3549600,3551100,30,OTRO,BREF
56,2019,1,2,21,22,7,21,22,32,3846350,3847600,25,LP,BREF
57,2019,1,3,2,18,26,2,18,51,415300,416550,25,OTRO,BREF
58,2019,1,3,4,49,31,4,49,46,868550,869300,15,VT,BREF
59,2019,1,3,7,46,31,7,46,51,1399550,1400550,20,HB,BREF
60,2019,1,3,7,54,6,7,54,36,1422300,1423800,30,HB,BREF
61,2019,1,3,10,18,16,10,18,46,1854800,1856300,30,OTRO,BREF
62,2019,1,3,20,43,36,20,44,11,3730800,3732550,35,VT,BREF
63,2019,1,3,21,13,1,21,17,31,3819050,3832550,270,REGIONAL,BREF
64,2019,1,4,0,33,55,0,34,25,101750,103250,30,LP,BREF
65,2019,1,4,1,56,0,1,56,13,348000,348650,13,LP,BREF
66,2019,1,4,2,9,47,2,10,5,389350,390250,18,HB,BREF
67,2019,1,4,2,16,51,2,17,7,410550,411350,16,HB,BREF
68,2019,1,4,7,17,10,7,17,35,1311500,1312750,25,VT,BREF
69,2019,1,4,7,27,15,7,27,40,1341750,1343000,25,REGIONAL,BREF
70,2019,1,4,7,46,25,7,46,50,1399250,1400500,25,VT,BREF
71,2019,1,4,8,50,35,8,53,35,1591750,1600750,180,REGIONAL,BREF
72,2019,1,4,9,20,45,9,21,15,1682250,1683750,30,LP,BREF
73,2019,1,4,9,50,55,9,51,35,1772750,1774750,40,REGIONAL,BREF
74,2019,1,4,11,1,50,11,2,50,1985500,1988500,60,REGIONAL,BREF
75,2019,1,4,11,36,55,11,37,35,2090750,2092750,40,OTRO,BREF
76,2019,1,4,12,12,53,12,13,10,2198650,2199500,17,HB,BREF
77,2019,1,4,19,18,25,19,19,5,3475250,3477250,40,VT,BREF
78,2019,1,4,20,46,5,20,46,45,3738250,3740250,40,OTRO,BREF
79,2019,1,4,20,55,5,20,55,35,3765250,3766750,30,HB,BREF
80,2019,1,4,21,43,35,21,44,5,3910750,3912250,30,VT,BREF
81,2019,1,4,22,17,37,22,17,47,4012850,4013350,10,LP,BREF
82,2019,1,4,22,17,47,22,17,57,4013350,4013850,10,LP,BREF
83,2019,1,4,23,27,45,23,28,15,4223250,4224750,30,VT,BREF
84,2019,1,4,23,20,30,23,20,50,4201500,4202500,20,LP,BREF
85,2019,1,4,23,45,45,23,46,15,4277250,4278750,30,LP,BREF
86,2019,1,5,0,7,12,0,7,42,21600,23100,30,LP,BREF
87,2019,1,5,1,43,52,1,44,17,311600,312850,25,HB,BREF
88,2019,1,5,3,8,7,3,8,27,564350,565350,20,HB,BREF
89,2019,1,5,7,20,37,7,20,50,1321850,1322500,13,VT,BREF
90,2019,1,5,7,20,50,7,21,7,1322500,1323350,17,LP,BREF
91,2019,1,5,7,21,10,7,21,42,1323500,1325100,32,LP,BREF
92,2019,1,5,12,28,17,12,28,37,2244850,2245850,20,LP,BREF
93,2019,1,5,19,25,2,19,35,2,3495100,3525100,600,REGIONAL,BREF
94,2019,1,5,21,54,42,21,55,7,3944100,3945350,25,VT,BREF
95,2019,1,5,23,37,42,23,37,57,4253100,4253850,15,LP,BREF
96,2019,1,6,0,38,38,0,39,3,115900,117150,25,VT,BREF
97,2019,1,6,4,29,43,4,30,8,809150,810400,25,VT,BREF
98,2019,1,6,7,22,58,7,23,18,1328900,1329900,20,LP,BREF
99,2019,1,6,7,23,58,7,24,18,1331900,1332900,20,LP,BREF
100,2019,1,6,7,37,13,7,37,38,1371650,1372900,25,LP,BREF
101,2019,1,6,16,4,38,16,5,3,2893900,2895150,25,LP,BREF
102,2019,1,7,2,2,28,2,3,8,367400,369400,40,OTRO,BREF
103,2019,1,7,2,20,46,2,21,8,422300,423400,22,HB,BREF
104,2019,1,7,2,22,18,2,22,38,426900,427900,20,VT,BREF
105,2019,1,7,3,42,18,3,42,43,666900,668150,25,LP,BREF
106,2019,1,7,3,44,28,3,44,58,673400,674900,30,VT,BREF
107,2019,1,7,3,55,38,3,55,58,706900,707900,20,LP,BREF
108,2019,1,7,4,21,53,4,22,28,785650,787400,35,LP,BREF
109,2019,1,7,4,35,38,4,35,58,826900,827900,20,LP,BREF
110,2019,1,7,8,49,28,8,50,8,1588400,1590400,40,LP,BREF
111,2019,1,7,8,50,23,8,50,53,1591150,1592650,30,VT,BREF
112,2019,1,7,10,10,8,10,10,43,1830400,1832150,35,VT,BREF
113,2019,1,7,10,27,23,10,28,8,1882150,1884400,45,LP,BREF
114,2019,1,7,10,33,48,10,34,13,1901400,1902650,25,LP,BREF
115,2019,1,7,10,35,48,10,36,13,1907400,1908650,25,HB,BREF
116,2019,1,7,10,39,33,10,39,53,1918650,1919650,20,LP,BREF
117,2019,1,7,14,0,18,14,0,43,2520900,2522150,25,OTRO,BREF
118,2019,1,7,14,14,23,14,14,38,2563150,2563900,15,LP,BREF
119,2019,1,7,21,7,38,21,7,58,3802900,3803900,20,HB,BREF
120,2019,1,7,21,45,3,21,45,18,3915150,3915900,15,LP,BREF
121,2019,1,7,23,59,8,23,59,28,4317400,4318400,20,LP,BREF
122,2019,1,8,2,4,17,2,5,2,372850,375100,45,LP,BREF
123,2019,1,8,3,41,12,3,41,42,663600,665100,30,LP,BREF
124,2019,1,8,4,43,47,4,44,12,851350,852600,25,LP,BREF
125,2019,1,8,4,44,32,4,45,2,853600,855100,30,LP,BREF
126,2019,1,8,5,14,57,5,15,17,944850,945850,20,LP,BREF
127,2019,1,8,5,58,47,5,59,7,1076350,1077350,20,LP,BREF
128,2019,1,8,6,25,7,6,25,22,1155350,1156100,15,VT,BREF
129,2019,1,8,6,39,59,6,40,12,1199950,1200600,13,LP,BREF
130,2019,1,8,6,51,32,6,51,47,1234600,1235350,15,VT,BREF
131,2019,1,8,7,14,22,7,14,47,1303100,1304350,25,LP,BREF
132,2019,1,8,7,48,47,7,49,17,1406350,1407850,30,HB,BREF
133,2019,1,8,9,17,52,9,18,32,1673600,1675600,40,VT,BREF
134,2019,1,8,9,59,2,10,9,2,1797100,1827100,600,REGIONAL,BREF
135,2019,1,8,10,36,42,10,37,12,1910100,1911600,30,LP,BREF
136,2019,1,8,10,44,12,10,44,37,1932600,1933850,25,LP,BREF
137,2019,1,8,10,47,17,10,47,32,1941850,1942600,15,LP,BREF
138,2019,1,8,12,44,32,12,45,12,2293600,2295600,40,VT,BREF
139,2019,1,8,15,14,2,15,14,47,2742100,2744350,45,VT,BREF
140,2019,1,8,15,25,32,15,26,12,2776600,2778600,40,LP,BREF
141,2019,1,11,0,3,32,0,3,52,10600,11600,20,LP,BREF
142,2019,1,11,0,12,57,0,13,17,38850,39850,20,VT,BREF
143,2019,1,11,1,15,55,1,16,12,227750,228600,17,LP,BREF
144,2019,1,11,2,35,12,2,35,32,465600,466600,20,HB,BREF
145,2019,1,11,3,33,52,3,34,37,641600,643850,45,HB,BREF
146,2019,1,11,5,41,2,5,41,22,1023100,1024100,20,LP,BREF
147,2019,1,11,5,54,57,5,55,17,1064850,1065850,20,HB,BREF
148,2019,1,11,6,22,57,6,23,12,1148850,1149600,15,LP,BREF
149,2019,1,11,7,6,22,7,6,42,1279100,1280100,20,VT,BREF
150,2019,1,11,7,7,27,7,7,57,1282350,1283850,30,VT,BREF
151,2019,1,11,7,26,7,7,26,47,1338350,1340350,40,LP,BREF
152,2019,1,11,7,28,17,7,28,57,1344850,1346850,40,VT,BREF
153,2019,1,11,9,15,7,9,15,42,1665350,1667100,35,VT,BREF
154,2019,1,11,9,18,17,9,18,37,1674850,1675850,20,VT,BREF
155,2019,1,11,10,59,2,10,59,22,1977100,1978100,20,VT,BREF
156,2019,1,11,11,0,42,11,1,7,1982100,1983350,25,HB,BREF
157,2019,1,11,11,27,22,11,27,37,2062100,2062850,15,VT,BREF
158,2019,1,11,11,39,47,11,40,2,2099350,2100100,15,LP,BREF
159,2019,1,11,12,43,47,12,44,17,2291350,2292850,30,LP,BREF
160,2019,1,11,13,43,27,13,43,47,2470350,2471350,20,VT,BREF
161,2019,1,11,14,37,37,14,38,7,2632850,2634350,30,LP,BREF
162,2019,1,11,15,54,22,15,54,42,2863100,2864100,20,VT,BREF
163,2019,1,11,15,56,22,15,56,42,2869100,2870100,20,LP,BREF
164,2019,1,11,20,46,32,20,46,52,3739600,3740600,20,VT,BREF
165,2019,1,11,21,24,2,21,24,22,3852100,3853100,20,LP,BREF
166,2019,1,11,21,40,7,21,40,37,3900350,3901850,30,LP,BREF
167,2019,1,11,21,58,7,21,58,47,3954350,3956350,40,HB,BREF
168,2019,1,11,23,41,17,23,41,32,4263850,4264600,15,LP,BREF
169,2019,1,12,1,9,27,1,9,57,208350,209850,30,LP,BREF
170,2019,1,12,1,12,47,1,13,7,218350,219350,20,VT,BREF
171,2019,1,12,1,48,42,1,49,2,326100,327100,20,HB,BREF
172,2019,1,12,2,9,47,2,10,7,389350,390350,20,HB,BREF
173,2019,1,12,4,48,22,4,48,52,865100,866600,30,VT,BREF
174,2019,1,12,5,24,22,5,24,52,973100,974600,30,LP,BREF
175,2019,1,12,5,25,47,5,26,17,977350,978850,30,LP,BREF
176,2019,1,12,6,37,37,6,38,7,1192850,1194350,30,LP,BREF
177,2019,1,12,7,25,52,7,26,22,1337600,1339100,30,LP,BREF
178,2019,1,12,7,26,32,7,26,52,1339600,1340600,20,LP,BREF
179,2019,1,12,7,27,7,7,27,27,1341350,1342350,20,LP,BREF
180,2019,1,12,7,27,42,7,28,7,1343100,1344350,25,VT,BREF
181,2019,1,12,7,42,22,7,42,47,1387100,1388350,25,LP,BREF
182,2019,1,12,7,46,27,7,46,42,1399350,1400100,15,LP,BREF
183,2019,1,12,7,59,12,7,59,27,1437600,1438350,15,LP,BREF
184,2019,1,12,8,39,52,8,40,22,1559600,1561100,30,VT,BREF
185,2019,1,12,9,7,37,9,8,2,1642850,1644100,25,LP,BREF
186,2019,1,12,9,17,19,9,17,35,1671950,1672750,16,VT,BREF
187,2019,1,12,10,54,57,10,55,37,1964850,1966850,40,LP,BREF
188,2019,1,12,13,2,42,13,3,27,2348100,2350350,45,LP,BREF
189,2019,1,12,14,1,47,14,2,22,2525350,2527100,35,LP,BREF
190,2019,1,12,14,12,37,14,12,57,2557850,2558850,20,LP,BREF
191,2019,1,12,14,14,37,14,14,52,2563850,2564600,15,LP,BREF
192,2019,1,12,14,15,32,14,15,52,2566600,2567600,20,VT,BREF
193,2019,1,12,18,46,17,18,46,42,3378850,3380100,25,VT,BREF
194,2019,1,12,21,16,52,21,17,27,3830600,3832350,35,LP,BREF
195,2019,1,12,23,4,57,23,5,27,4154850,4156350,30,VT,BREF
196,2019,1,12,23,22,5,23,22,22,4206250,4207100,17,LP,BREF
197,2019,1,13,0,8,48,0,9,18,26400,27900,30,VT,BREF
198,2019,1,13,0,13,18,0,13,53,39900,41650,35,LP,BREF
199,2019,1,13,0,26,53,0,27,8,80650,81400,15,LP,BREF
200,2019,1,13,0,41,3,0,41,13,123150,123650,10,LP,BREF
201,2019,1,13,0,45,11,0,45,28,135550,136400,17,LP,BREF
202,2019,1,13,1,7,8,1,7,53,201400,203650,45,LP,BREF
203,2019,1,13,1,43,38,1,43,58,310900,311900,20,LP,BREF
204,2019,1,13,2,8,11,2,8,28,384550,385400,17,LP,BREF
205,2019,1,13,2,28,33,2,28,58,445650,446900,25,LP,BREF
206,2019,1,13,2,28,36,2,29,1,445800,447050,25,HB,BREF
207,2019,1,13,2,37,5,2,37,23,471250,472150,18,LP,BREF
208,2019,1,13,8,19,8,8,19,38,1497400,1498900,30,HB,BREF
209,2019,1,13,9,41,8,9,41,33,1743400,1744650,25,LP,BREF
210,2019,1,13,9,48,53,9,49,18,1766650,1767900,25,LP,BREF
211,2019,1,13,9,52,3,9,52,28,1776150,1777400,25,HB,BREF
212,2019,1,13,9,56,33,9,56,48,1789650,1790400,15,LP,BREF
213,2019,1,13,10,11,13,10,11,48,1833650,1835400,35,LP,BREF
214,2019,1,13,10,21,3,10,21,23,1863150,1864150,20,LP,BREF
215,2019,1,13,10,27,23,10,27,43,1882150,1883150,20,HB,BREF
216,2019,1,13,11,49,35,11,49,53,2128750,2129650,18,HB,BREF
217,2019,1,13,12,1,53,12,2,33,2165650,2167650,40,LP,BREF
218,2019,1,13,12,5,18,12,5,43,2175900,2177150,25,VT,BREF
219,2019,1,13,12,21,53,12,22,28,2225650,2227400,35,LP,BREF
220,2019,1,13,12,34,15,12,34,33,2262750,2263650,18,HB,BREF
221,2019,1,13,12,36,3,12,36,43,2268150,2270150,40,LP,BREF
222,2019,1,13,16,17,33,16,18,23,2932650,2935150,50,LP,BREF
223,2019,1,13,20,26,33,20,27,43,3679650,3683150,70,VT,BREF
224,2019,1,13,22,3,43,22,4,23,3971150,3973150,40,LP,BREF
225,2019,1,13,22,29,13,22,29,43,4047650,4049150,30,LP,BREF
226,2019,1,13,23,24,53,23,25,28,4214650,4216400,35,VT,BREF
227,2019,1,13,23,38,58,23,39,33,4256900,4258650,35,LP,BREF
228,2019,1,17,2,28,12,2,28,42,444600,446100,30,LP,BREF
229,2019,1,17,2,50,34,2,51,2,511700,513100,28,VT,BREF
230,2019,1,17,3,29,47,3,30,37,629350,631850,50,VT,BREF
231,2019,1,17,5,15,37,5,16,47,946850,950350,70,REGIONAL,BREF
232,2019,1,17,11,19,12,11,19,52,2037600,2039600,40,HB,BREF
233,2019,1,17,11,40,37,11,41,12,2101850,2103600,35,VT,BREF
234,2019,1,17,11,48,22,11,48,52,2125100,2126600,30,LP,BREF
235,2019,1,17,12,15,32,12,16,2,2206600,2208100,30,LP,BREF
236,2019,1,17,14,46,52,14,47,32,2660600,2662600,40,VT,BREF
237,2019,1,17,16,44,2,16,45,2,3012100,3015100,60,LP,BREF
238,2019,1,17,17,30,37,17,31,12,3151850,3153600,35,HB,BREF
239,2019,1,17,20,7,42,20,8,2,3623100,3624100,20,VT,BREF
240,2019,1,18,9,23,27,9,24,7,1690350,1692350,40,LP,BREF
241,2019,1,18,9,25,17,9,25,52,1695850,1697600,35,VT,BREF
242,2019,1,18,14,41,37,14,42,22,2644850,2647100,45,VT,BREF
243,2019,1,18,14,45,7,14,45,29,2655350,2656450,22,LP,BREF
244,2019,1,18,15,3,17,15,3,42,2709850,2711100,25,VT,BREF
245,2019,1,18,21,32,37,21,37,37,3877850,3892850,300,REGIONAL,BREF
246,2019,1,19,0,49,58,0,50,23,149900,151150,25,HB,BREF
247,2019,1,19,1,9,18,1,10,3,207900,210150,45,VT,BREF
248,2019,1,19,6,15,18,6,16,33,1125900,1129650,75,REGIONAL,BREF
249,2019,1,19,6,41,23,6,42,23,1204150,1207150,60,REGIONAL,BREF
250,2019,1,19,7,21,18,7,22,18,1323900,1326900,60,LP,BREF
251,2019,1,19,8,7,43,8,8,8,1463150,1464400,25,HB,BREF
252,2019,1,20,10,9,18,10,10,3,1827900,1830150,45,LP,BREF
253,2019,1,20,15,8,48,15,10,3,2726400,2730150,75,LP,BREF
254,2019,1,20,16,29,33,16,30,33,2968650,2971650,60,LP,BREF
255,2019,1,20,19,47,33,19,48,18,3562650,3564900,45,LP,BREF
256,2019,1,20,22,24,53,22,25,53,4034650,4037650,60,LP,BREF
257,2019,1,21,0,32,17,0,32,57,96850,98850,40,LP,BREF
258,2019,1,21,1,18,47,1,19,27,236350,238350,40,LP,BREF
259,2019,1,21,1,28,22,1,29,37,265100,268850,75,LP,BREF
260,2019,1,21,7,14,22,7,15,7,1303100,1305350,45,VT,BREF
261,2019,1,21,8,38,52,8,39,12,1556600,1557600,20,HB,BREF
262,2019,1,21,9,26,7,9,26,37,1698350,1699850,30,LP,BREF
263,2019,1,21,9,32,52,9,33,17,1718600,1719850,25,LP,BREF
264,2019,1,21,9,51,2,9,51,17,1773100,1773850,15,HB,BREF
265,2019,1,21,10,12,2,10,12,27,1836100,1837350,25,LP,BREF
266,2019,1,21,20,0,27,20,0,57,3601350,3602850,30,HB,BREF
267,2019,1,21,20,17,12,20,17,47,3651600,3653350,35,REGIONAL,BREF
268,2019,1,21,23,23,32,23,23,57,4210600,4211850,25,LP,BREF
269,2019,1,21,23,26,52,23,27,7,4220600,4221350,15,HB,BREF
270,2019,1,21,23,30,17,23,30,47,4230850,4232350,30,HB,BREF
271,2019,1,22,0,0,20,0,0,50,1000,2500,30,LP,BREF
272,2019,1,22,0,33,10,0,33,30,99500,100500,20,LP,BREF
273,2019,1,22,0,49,55,0,50,15,149750,150750,20,HB,BREF
274,2019,1,22,3,4,10,3,4,40,552500,554000,30,VT,BREF
275,2019,1,22,4,14,10,4,14,40,762500,764000,30,HB,BREF
276,2019,1,22,8,55,10,8,55,45,1605500,1607250,35,LP,BREF
277,2019,1,22,11,46,30,11,47,15,2119500,2121750,45,VT,BREF
278,2019,1,22,11,51,15,11,51,45,2133750,2135250,30,VT,BREF
279,2019,1,22,14,54,40,14,55,00,2684000,2685000,20,LP,BREF
280,2019,1,22,21,15,20,21,15,50,3826000,3827500,30,LP,BREF
281,2019,1,22,22,5,30,22,6,20,3976500,3979000,50,LP,BREF
282,2019,1,22,22,35,35,22,35,55,4066750,4067750,20,VT,BREF
283,2019,1,22,22,36,25,22,36,45,4069250,4070250,20,HB,BREF
284,2019,1,22,23,46,20,23,46,45,4279000,4280250,25,LP,BREF
285,2019,1,23,2,14,28,2,15,23,403400,406150,55,LP,BREF
286,2019,1,23,7,59,13,7,59,58,1437650,1439900,45,VT,BREF
287,2019,1,23,8,55,58,8,56,53,1607900,1610650,55,LP,BREF
288,2019,1,23,19,9,48,19,10,38,3449400,3451900,50,ICEQUAKE,BREF
289,2019,1,23,23,7,31,23,8,1,4162550,4164050,30,LP,BREF
290,2019,1,23,23,56,13,23,56,43,4308650,4310150,30,VT,BREF
291,2019,1,24,2,29,21,2,30,11,448050,450550,50,LP,BREF
292,2019,1,24,6,34,26,6,35,21,1183300,1186050,55,LP,BREF
293,2019,1,24,11,2,21,11,2,41,1987050,1988050,20,VT,BREF
294,2019,1,24,11,41,41,11,42,6,2105050,2106300,25,LP,BREF
295,2019,1,24,11,41,42,11,42,7,2105100,2106350,25,OTRO,BREF
296,2019,1,24,11,51,36,11,52,1,2134800,2136050,25,LP,BREF
297,2019,1,24,11,57,36,11,57,56,2152800,2153800,20,OTRO,BREF
298,2019,1,24,18,1,16,18,1,51,3243800,3245550,35,HB,BREF
299,2019,1,26,0,40,50,0,41,20,122500,124000,30,LP,BREF
300,2019,1,26,1,31,40,1,32,10,275000,276500,30,HB,BREF
301,2019,1,26,3,41,20,3,41,50,664000,665500,30,HB,BREF
302,2019,1,26,7,52,15,7,52,45,1416750,1418250,30,HB,BREF
303,2019,1,26,11,33,58,11,34,25,2081900,2083250,27,HB,BREF
304,2019,1,26,21,38,30,21,38,55,3895500,3896750,25,HB,BREF
305,2019,1,27,0,9,11,0,9,41,27550,29050,30,LP,BREF
306,2019,1,27,0,31,11,0,31,46,93550,95300,35,LP,BREF
307,2019,1,27,0,40,1,0,40,31,120050,121550,30,HB,BREF
308,2019,1,27,2,21,41,2,22,21,425050,427050,40,LP,BREF
309,2019,1,27,3,16,11,3,16,46,588550,590300,35,LP,BREF
310,2019,1,27,3,23,36,3,24,11,610800,612550,35,LP,BREF
311,2019,1,27,4,9,6,4,9,46,747300,749300,40,LP,BREF
312,2019,1,27,4,18,56,4,19,26,776800,778300,30,LP,BREF
313,2019,1,27,4,56,31,4,57,6,889550,891300,35,LP,BREF
314,2019,1,27,7,21,56,7,22,26,1325800,1327300,30,LP,BREF
315,2019,1,27,7,24,16,7,24,31,1332800,1333550,15,OTRO,BREF
316,2019,1,27,8,20,6,8,20,41,1500300,1502050,35,LP,BREF
317,2019,1,27,8,31,31,8,32,1,1534550,1536050,30,LP,BREF
318,2019,1,27,8,51,26,8,51,56,1594300,1595800,30,LP,BREF
319,2019,1,27,8,56,51,8,57,21,1610550,1612050,30,LP,BREF
320,2019,1,27,9,1,21,9,1,46,1624050,1625300,25,LP,BREF
321,2019,1,27,9,3,26,9,3,56,1630300,1631800,30,LP,BREF
322,2019,1,27,10,59,36,11,0,21,1978800,1981050,45,LP,BREF
323,2019,1,27,12,0,21,12,0,51,2161050,2162550,30,LP,BREF
324,2019,1,27,19,23,31,19,24,11,3490550,3492550,40,LP,BREF
325,2019,1,27,21,18,41,21,19,6,3836050,3837300,25,LP,BREF
326,2019,1,27,21,23,51,21,24,41,3851550,3854050,50,LP,BREF
327,2019,1,27,23,23,41,23,24,11,4211050,4212550,30,LP,BREF
328,2019,1,27,23,41,46,23,42,21,4265300,4267050,35,LP,BREF
329,2019,1,28,2,47,51,2,48,26,503550,505300,35,LP,BREF
330,2019,1,28,3,14,26,3,14,56,583300,584800,30,VT,BREF
331,2019,1,28,3,19,51,3,20,21,599550,601050,30,LP,BREF
332,2019,1,28,3,47,31,3,47,56,682550,683800,25,LP,BREF
333,2019,1,28,4,18,1,4,18,41,774050,776050,40,VT,BREF
334,2019,1,28,4,43,11,4,43,36,849550,850800,25,OTRO,BREF
335,2019,1,28,4,57,16,4,57,51,891800,893550,35,LP,BREF
336,2019,1,28,5,20,11,5,20,51,960550,962550,40,LP,BREF
337,2019,1,28,5,55,41,5,56,16,1067050,1068800,35,LP,BREF
338,2019,1,28,6,14,29,6,15,6,1123450,1125300,37,LP,BREF
339,2019,1,28,6,22,21,6,22,41,1147050,1148050,20,OTRO,BREF
340,2019,1,28,6,25,41,6,26,1,1157050,1158050,20,HB,BREF
341,2019,1,28,6,31,36,6,31,56,1174800,1175800,20,LP,BREF
342,2019,1,28,7,53,46,7,54,11,1421300,1422550,25,LP,BREF
343,2019,1,28,7,52,56,7,53,21,1418800,1420050,25,LP,BREF
344,2019,1,28,7,59,21,7,59,56,1438050,1439800,35,LP,BREF
345,2019,1,28,8,15,11,8,15,51,1485550,1487550,40,LP,BREF
346,2019,1,28,8,15,12,8,15,52,1485600,1487600,40,HB,BREF
347,2019,1,28,8,32,41,8,33,16,1538050,1539800,35,HB,BREF
348,2019,1,28,9,52,11,9,52,51,1776550,1778550,40,LP,BREF
349,2019,1,28,11,13,1,11,13,51,2019050,2021550,50,LP,BREF
350,2019,1,28,11,14,36,11,15,1,2023800,2025050,25,LP,BREF
351,2019,1,28,11,24,56,11,25,21,2054800,2056050,25,LP,BREF
352,2019,1,28,12,12,31,12,13,31,2197550,2200550,60,VT,BREF
353,2019,1,28,12,55,51,12,56,41,2327550,2330050,50,OTRO,BREF
354,2019,1,28,13,4,21,13,4,56,2353050,2354800,35,LP,BREF
355,2019,1,28,13,35,11,13,35,31,2445550,2446550,20,OTRO,BREF
356,2019,1,28,13,56,16,13,56,41,2508800,2510050,25,LP,BREF
357,2019,1,28,14,52,11,14,52,36,2676550,2677800,25,LP,BREF
358,2019,1,28,19,1,21,19,1,46,3424050,3425300,25,LP,BREF
359,2019,1,29,0,26,47,0,27,22,80350,82100,35,OTRO,BREF
360,2019,1,29,0,34,52,0,35,12,104600,105600,20,LP,BREF
361,2019,1,29,1,7,32,1,7,47,202600,203350,15,LP,BREF
362,2019,1,29,1,53,47,1,54,12,341350,342600,25,LP,BREF
363,2019,1,29,2,12,52,2,13,27,398600,400350,35,LP,BREF
364,2019,1,29,2,19,52,2,20,27,419600,421350,35,OTRO,BREF
365,2019,1,29,3,13,42,3,14,7,581100,582350,25,LP,BREF
366,2019,1,29,3,34,17,3,34,47,642850,644350,30,VT,BREF
367,2019,1,29,3,55,22,3,55,52,706100,707600,30,LP,BREF
